"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/AnagramChecker.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/AnagramChecker.java","3","4","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/AnagramChecker.java","3","5","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/AnagramChecker.java","3","6","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/EmailMasker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/EmailMasker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/EmailMasker.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PasswordValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PasswordValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","3","4","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","4","14","Useless parentheses around `currentYear / 100`.","Code Style","UselessParentheses"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","3","17","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","3","36","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","4","41","Useless parentheses around `sum % 10 == 0`.","Code Style","UselessParentheses"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/ShoppingCartPriceCalculator.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/ShoppingCartPriceCalculator.java","3","9","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/ShoppingCartPriceCalculator.java","3","11","This statement should have braces","Code Style","ControlStatementBraces"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/ShoppingCartPriceCalculator.java","3","12","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/TextCleaner.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/TextCleaner.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","4","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","5","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","13","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/EmailMasker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/EmailMasker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/EmailMasker.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","4","4","Use one line for each declaration, it enhances code readability.","Best Practices","OneDeclarationPerLine"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","7","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","9","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
