"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task1_PasswordValidator/PasswordValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task1_PasswordValidator/PasswordValidator.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task1_PasswordValidator/PasswordValidator.java","1","2","The static method name 'is_strong_password' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task1_PasswordValidator/PasswordValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task1_PasswordValidator/PasswordValidator.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task1_PasswordValidator/PasswordValidator.java","3","9","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task1_PasswordValidator/PasswordValidator.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","4","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","4","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","1","14","The static method name 'calculate_total' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task2_ShoppingCart/ShoppingCartPriceCalculator.java","3","15","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task3_AnagramChecker/AnagramChecker.java","3","3","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task3_AnagramChecker/AnagramChecker.java","3","3","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task3_AnagramChecker/AnagramChecker.java","1","4","The static method name 'is_anagram' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task3_AnagramChecker/AnagramChecker.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task3_AnagramChecker/AnagramChecker.java","3","6","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"6","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task3_AnagramChecker/AnagramChecker.java","3","7","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"7","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task3_AnagramChecker/AnagramChecker.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task4_TextCleaner/TextCleaner.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task4_TextCleaner/TextCleaner.java","3","1","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"3","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task4_TextCleaner/TextCleaner.java","1","2","The static method name 'clean_text' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/HumanSolutions/Subject1/Task4_TextCleaner/TextCleaner.java","3","3","No need to check for null before an instanceof","Design","SimplifyConditional"
