file,directory,category,bugtype,priority,line,description
AnagramChecker.java,HumanSolutions/Subject1/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
PersonnummerValidator.java,HumanSolutions/Subject1/Task6_Personnummer,STYLE,REC_CATCH_EXCEPTION,Low,6,
AnagramChecker.java,HumanSolutions/Subject10/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
AnagramChecker.java,HumanSolutions/Subject11/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,1,
TextCleaner.java,HumanSolutions/Subject11/Task4_TextCleaner,PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,Medium,1,
EmailMasker.java,HumanSolutions/Subject12/Task5_EmailMasker,STYLE,RV_CHECK_FOR_POSITIVE_INDEXOF,Low,3,
AnagramChecker.java,HumanSolutions/Subject13/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
AnagramChecker.java,HumanSolutions/Subject14/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
AnagramChecker.java,HumanSolutions/Subject15/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
AnagramChecker.java,HumanSolutions/Subject16/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
AnagramChecker.java,HumanSolutions/Subject2/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,4,
AnagramChecker.java,HumanSolutions/Subject3/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,1,
AnagramChecker.java,HumanSolutions/Subject4/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
AnagramChecker.java,HumanSolutions/Subject5/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,4,
PersonnummerValidator.java,HumanSolutions/Subject5/Task6_Personnummer,STYLE,DLS_DEAD_LOCAL_STORE,Medium,4,
AnagramChecker.java,HumanSolutions/Subject6/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
AnagramChecker.java,HumanSolutions/Subject7/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
AnagramChecker.java,HumanSolutions/Subject8/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
AnagramChecker.java,HumanSolutions/Subject9/Task3_AnagramChecker,I18N,DM_CONVERT_CASE,Low,3,
