file_id,line,category,description
Lang-44,46,syntax_style,Public constructor on utility class should be private
Lang-44,82,quality_warning,Informal notes in production code block comment
Lang-44,138,quality_warning,createNumber method excessively long (~148 lines)
Lang-44,150,logic_error,Returning null for -- prefix inconsistent with contract
Lang-44,160,logic_error,expPos calculation wrong when both e and E present
Lang-44,195,logic_error,Operator precedence bug in isDigits conditional
Lang-44,209,quality_warning,Autoboxing for Float/Double creation
Lang-44,223,logic_error,floatValue() called on Double instead of doubleValue()
Lang-44,189,logic_error,allZeros check omits decimal part
Lang-44,317,security,createFloat does not check for null input
Lang-44,328,security,createDouble does not check for null input
Lang-44,340,security,createInteger does not check for null input
Lang-44,352,security,createLong does not check for null input
Lang-44,363,security,createBigInteger does not check for null input
Lang-44,375,security,createBigDecimal does not check for null input
Lang-44,364,quality_warning,Unnecessary local variable in createBigInteger
Lang-44,376,quality_warning,Unnecessary local variable in createBigDecimal
Lang-44,628,syntax_style,isNumber does not handle leading + sign
Lang-59,82,code_smell,serialVersionUID declared but class does not implement Serializable
Lang-59,75,syntax_style,CAPACITY constant has package-private visibility should be private
Lang-59,85,code_smell,Protected mutable fields buffer and size expose internal state
Lang-59,884,logic_error,appendFixedWidthPadRight copies strLen chars instead of width chars
Lang-59,837,security,appendFixedWidthPadLeft NPE if obj null and getNullText returns null
Lang-59,881,security,appendFixedWidthPadRight NPE if obj null and getNullText returns null
Lang-59,1,quality_warning,File is 2364 lines - overly large class
Lang-59,2258,syntax_style,Boolean comparison ready()==false should use !ready()
Lang-59,2240,syntax_style,Inner class Javadoc says writer but it is a Reader
Lang-33,142,syntax_style,Public constructor on utility class should be private
Lang-33,908,code_smell,Raw generic type: new Class[array.length] without parameterization
Lang-33,910,logic_error,array[i].getClass() throws NPE when element is null
Lang-33,1021,logic_error,deleteWhitespace called before null check on className
Lang-33,83,quality_warning,Void.TYPE maps to itself inconsistent with other primitive mappings
Lang-33,73,syntax_style,Map declarations missing diamond operator
Lang-33,102,syntax_style,Map declarations missing diamond operator
Lang-21,157,syntax_style,Public constructor on utility class should be private
Lang-21,265,logic_error,Uses Calendar.HOUR instead of HOUR_OF_DAY for 24h comparison
Lang-21,86,syntax_style,Modifier order public final static should be public static final
Lang-21,103,syntax_style,Modifier order public final static should be public static final
Lang-21,146,syntax_style,Missing space before = in MODIFY_CEILING=2
Lang-21,88,code_smell,Private field mutable 2D array should be made unmodifiable
Lang-21,1,quality_warning,File is 1871 lines - overly large class
Lang-21,1813,quality_warning,Typo in error message milleseconds
Lang-21,254,quality_warning,Javadoc misleading says millisecond instant but compares fields
Lang-51,43,syntax_style,Public constructor on utility class should be private
Lang-51,656,logic_error,Reference equality == instead of .equals() for String
Lang-51,682,logic_error,Missing break in case 3 causes fallthrough to case 4
Lang-51,90,quality_warning,Redundant bool.booleanValue() ? true : false
Lang-51,129,quality_warning,Redundant bool.booleanValue() ? false : true
Lang-51,152,syntax_style,Javadoc typo objecs should be objects
Lang-51,702,quality_warning,Commented-out main method in production code
Lang-51,966,code_smell,Using exception handling for control flow anti-pattern
Lang-51,1,quality_warning,File is 972 lines with repetitive overloads
Chart-1,1798,logic_error,Inverted null check dataset != null should be == null
Chart-1,1800,security,Null pointer dereference when dataset is null
Chart-1,226,code_smell,Raw type List backgroundAnnotations
Chart-1,234,code_smell,Raw type List foregroundAnnotations
Chart-1,194,code_smell,Raw type ObjectList for itemLabelGeneratorList
Chart-1,200,code_smell,Raw type ObjectList for toolTipGeneratorList
Chart-1,206,code_smell,Raw type ObjectList for urlGeneratorList
Chart-1,255,code_smell,Raw type new ArrayList() should be parameterized
Chart-1,256,code_smell,Raw type new ArrayList() should be parameterized
Chart-1,1531,quality_warning,hashCode only delegates to super without incorporating fields
Chart-1,1680,syntax_style,Missing @Override on clone()
Chart-1,1660,code_smell,Throws RuntimeException instead of IllegalArgumentException
Chart-1,1916,code_smell,Throws RuntimeException instead of UnsupportedOperationException
Chart-1,1937,syntax_style,Incomplete Javadoc on createHotSpotBounds
Chart-1,1963,syntax_style,Incomplete Javadoc on hitTest
Chart-1,183,quality_warning,Class nearly 2000 lines - god class
Chart-1,1180,quality_warning,drawRangeMarker extremely long with high complexity
Chart-1,1979,quality_warning,hitTest has 11 parameters excessive
Chart-1,1912,quality_warning,createHotSpotShape has 10 parameters excessive
Chart-1,1954,quality_warning,Magic numbers 2 and 4 in setRect without constants
Chart-17,857,logic_error,clone calls createCopy(0 -1) on empty series throws exception
Chart-17,118,code_smell,Raw type Class timePeriodClass
Chart-17,121,code_smell,Raw type List data
Chart-17,176,code_smell,Raw type new ArrayList()
Chart-17,884,code_smell,Raw type new ArrayList() in createCopy
Chart-17,944,code_smell,Raw type new ArrayList() in createCopy
Chart-17,407,code_smell,Raw type Collection result
Chart-17,856,syntax_style,Missing @Override on clone()
Chart-17,960,syntax_style,Missing @Override on equals()
Chart-17,1009,syntax_style,Missing @Override on hashCode()
Chart-17,893,quality_warning,Catch block uses e.printStackTrace instead of logging
Chart-17,433,code_smell,Raw type Collections.binarySearch on raw List
Chart-17,517,code_smell,Raw type Collections.binarySearch on raw List
Chart-17,152,code_smell,Raw type constructor parameter Class timePeriodClass
Chart-12,145,logic_error,Constructor does not register change listener on dataset
Chart-12,117,code_smell,Raw type Comparable aggregatedItemsKey
Chart-12,129,code_smell,Raw type transient Map sectionPaints
Chart-12,157,code_smell,Raw type new HashMap()
Chart-12,514,code_smell,Raw type List keys
Chart-12,526,code_smell,Raw type Iterator
Chart-12,561,syntax_style,Missing @Override on equals()
Chart-12,329,syntax_style,Missing @Override on getPlotType()
Chart-12,344,syntax_style,Missing @Override on draw()
Chart-12,509,syntax_style,Missing @Override on getLegendItems()
Chart-12,525,quality_warning,Unused variable section incremented but never read
Chart-12,96,code_smell,Serializable class has transient Map not handled in readObject
Chart-12,344,quality_warning,draw() method long with high cyclomatic complexity
Chart-12,385,quality_warning,Magic number casting double to int truncation
Chart-7,300,logic_error,Uses minMiddleIndex instead of maxMiddleIndex
Chart-7,88,code_smell,Raw type List data
Chart-7,132,code_smell,Raw type new ArrayList()
Chart-7,500,code_smell,Raw type new ArrayList() in createCopy
Chart-7,73,syntax_style,serialVersionUID missing private modifier
Chart-7,414,syntax_style,Missing @Override on equals()
Chart-7,450,syntax_style,Missing @Override on hashCode()
Chart-7,479,syntax_style,Missing @Override on clone()
Chart-7,509,quality_warning,Catch block writes to System.err instead of logging
Chart-7,257,quality_warning,updateBounds method long with repetitive structure
Chart-7,348,code_smell,Raw type unchecked cast from raw List
