project,bug_id,file,line,category,description,source
Chart,1,AbstractCategoryItemRenderer.java,197,code_smell,"[java:S1948] Make non-static ""baseItemLabelGenerator"" transient or serializable.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,203,code_smell,"[java:S1948] Make non-static ""baseToolTipGenerator"" transient or serializable.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,209,code_smell,"[java:S1948] Make non-static ""baseURLGenerator"" transient or serializable.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,212,code_smell,"[java:S1948] Make non-static ""legendItemLabelGenerator"" transient or serializable.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,215,code_smell,"[java:S1948] Make non-static ""legendItemToolTipGenerator"" transient or serializable.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,218,code_smell,"[java:S1948] Make non-static ""legendItemURLGenerator"" transient or serializable.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,226,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,234,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,255,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,256,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,681,quality_warning,[java:S112] Replace generic exceptions with specific library exceptions or a custom exception.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,698,quality_warning,"[java:S2178] Correct this ""&"" to ""&&"" and extract the right operand to a variable if it should always be evaluated.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,923,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1100,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1129,security,"[java:S2259] A ""NullPointerException"" could be thrown; ""line"" is nullable here.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1180,quality_warning,[java:S3776] Refactor this method to reduce its Cognitive Complexity from 45 to the 15 allowed.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1223,security,"[java:S2259] A ""NullPointerException"" could be thrown; ""line"" is nullable here.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1469,quality_warning,"[java:S1161] Add the ""@Override"" annotation above this method signature",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1531,quality_warning,"[java:S1161] Add the ""@Override"" annotation above this method signature",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1532,quality_warning,"[java:S1488] Immediately return this expression instead of assigning it to the temporary variable ""result"".",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1568,quality_warning,"[java:S107] Method has 8 parameters, which is greater than 7 authorized.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1569,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1606,quality_warning,"[java:S107] Method has 9 parameters, which is greater than 7 authorized.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1651,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1660,quality_warning,[java:S112] Replace generic exceptions with specific library exceptions or a custom exception.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1680,quality_warning,[java:S3776] Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1790,quality_warning,[java:S3776] Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1797,logic_error,Inverted null check (!=) instead of (==) on dataset,defects4j
Chart,1,AbstractCategoryItemRenderer.java,1800,security,"[java:S2259] A ""NullPointerException"" could be thrown; ""dataset"" is nullable here.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1862,quality_warning,"[java:S107] Method has 8 parameters, which is greater than 7 authorized.",sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1916,quality_warning,[java:S112] Replace generic exceptions with specific library exceptions or a custom exception.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1944,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,1,AbstractCategoryItemRenderer.java,1989,quality_warning,[java:S1134] Take the required action to fix the issue indicated by this comment.,sonarqube_verified
Chart,7,TimePeriodValues.java,88,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,7,TimePeriodValues.java,128,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,7,TimePeriodValues.java,132,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,7,TimePeriodValues.java,257,quality_warning,[java:S3776] Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,sonarqube_verified
Chart,7,TimePeriodValues.java,300,logic_error,Uses minMiddleIndex instead of maxMiddleIndex,defects4j
Chart,7,TimePeriodValues.java,401,quality_warning,"[java:S5413] Verify that ""remove()"" is used correctly.",sonarqube_verified
Chart,7,TimePeriodValues.java,414,quality_warning,"[java:S1161] Add the ""@Override"" annotation above this method signature",sonarqube_verified
Chart,7,TimePeriodValues.java,450,quality_warning,"[java:S1161] Add the ""@Override"" annotation above this method signature",sonarqube_verified
Chart,7,TimePeriodValues.java,479,quality_warning,"[java:S1161] Add the ""@Override"" annotation above this method signature",sonarqube_verified
Chart,7,TimePeriodValues.java,480,quality_warning,"[java:S1488] Immediately return this expression instead of assigning it to the temporary variable ""clone"".",sonarqube_verified
Chart,7,TimePeriodValues.java,500,code_smell,[java:S3740] Provide the parametrized type for this generic.,sonarqube_verified
Chart,7,TimePeriodValues.java,501,quality_warning,[java:S1155] Use isEmpty() to check whether the collection is empty or not.,sonarqube_verified
Chart,7,TimePeriodValues.java,509,quality_warning,[java:S106] Replace this use of System.err by a logger.,sonarqube_verified
Chart,11,ShapeUtilities.java,107,quality_warning,"[java:S108] Remove this block of code, fill it in, or add a comment explaining why it is empty.",sonarqube_verified
Chart,11,ShapeUtilities.java,110,quality_warning,"[java:S1488] Immediately return this expression instead of assigning it to the temporary variable ""result"".",sonarqube_verified
