project,bug_id,category,sonarqube_detected,ai_detected
Lang,1,logic_error,0,1
Lang,4,code_smell,0,1
Lang,5,security,0,1
Lang,6,logic_error,0,1
Lang,9,security,0,1
Lang,11,security,0,1
Lang,16,logic_error,0,1
Lang,21,logic_error,0,1
Lang,24,logic_error,0,1
Lang,33,logic_error,0,1
Lang,44,security,1,1
Lang,51,logic_error,0,1
Lang,58,logic_error,0,1
Lang,59,logic_error,0,1
Lang,61,logic_error,0,1
Chart,1,logic_error,0,1
Chart,6,code_smell,0,1
Chart,7,logic_error,0,1
Chart,8,logic_error,0,1
Chart,9,logic_error,0,0
Chart,11,logic_error,0,1
Chart,12,code_smell,0,1
Chart,17,code_smell,0,1
Chart,20,logic_error,0,1
Chart,24,logic_error,0,1
Math,2,logic_error,0,1
Math,5,logic_error,0,0
Math,11,logic_error,0,1
Math,30,logic_error,0,1
Math,34,code_smell,0,1
Math,41,logic_error,0,1
Math,56,logic_error,0,1
Math,59,logic_error,0,1
Math,70,logic_error,1,1
Math,73,security,0,0
Math,75,logic_error,0,1
Math,79,logic_error,0,1
Math,80,logic_error,0,1
Math,82,logic_error,0,1
Math,106,security,0,0
